Wall time,Step,Value
1658293649.9372222,13824,-110.42568969726562
1658293706.85023,33792,-131.4858856201172
1658293733.1813805,43008,-137.51100158691406
1658293811.1412327,67584,-148.1699676513672
1658293817.3094249,70656,-148.1699676513672
1658293831.6167436,75264,-147.52639770507812
1658293869.669918,87552,-152.1234893798828
1658293883.7181153,92160,-152.09251403808594
1658293952.3754697,115200,-146.61737060546875
1658293965.0344925,119808,-145.36424255371094
1658294054.3848534,150528,-142.26742553710938
1658294092.0455618,162816,-142.62466430664062
1658294110.1645558,168960,-142.02835083007812
1658294200.1751451,199680,-148.56832885742188
1658294257.3575618,219648,-147.10353088378906
1658294307.5423753,236544,-147.13340759277344
1658294331.3383698,244224,-142.0277862548828
1658294343.5290945,248832,-142.11221313476562
1658294382.9957986,262656,-140.6786651611328
1658294430.879346,279552,-138.69288635253906
1658294454.290746,287232,-132.77549743652344
1658294462.7563848,290304,-132.48431396484375
1658294468.5758057,291840,-131.56642150878906
1658294483.562106,297984,-129.27651977539062
1658294521.3175042,310272,-135.0426025390625
1658294560.081246,324096,-137.7195281982422
1658294582.351686,331776,-137.4840545654297
1658294633.2424998,348672,-130.33230590820312
1658294660.7897267,357888,-132.54647827148438
1658294683.3647838,365568,-137.13552856445312
1658294753.737795,388608,-132.29364013671875
1658294781.878658,397824,-137.31192016601562
1658294802.5385954,405504,-132.77662658691406
1658294833.5230827,416256,-135.63768005371094
1658294851.886039,422400,-133.93417358398438
1658294861.3628354,425472,-134.9071807861328
1658294944.5006402,454656,-133.43692016601562
1658294965.6558409,462336,-133.82420349121094
1658294992.3060036,471552,-137.61221313476562
1658295015.1710494,479232,-136.85391235351562
1658295024.231407,482304,-136.04275512695312
1658295057.4065137,494592,-136.31845092773438
1658295115.1286473,513024,-142.9828643798828
1658295155.8077736,526848,-152.21737670898438
1658295191.8380332,539136,-142.0683135986328
1658295264.1559174,563712,-145.32118225097656
1658295282.939249,569856,-146.31890869140625
1658295329.307108,585216,-154.86361694335938
1658295527.935433,652800,-149.42686462402344
1658295533.2206898,654336,-150.7236785888672
1658295608.359819,680448,-144.80032348632812
1658295615.7048337,683520,-145.69479370117188
1658295620.5163534,685056,-144.4406280517578
1658295633.0338995,689664,-144.76344299316406
1658295700.789754,712704,-141.3152313232422
1658295713.8437207,717312,-139.0798797607422
1658295718.1204538,718848,-139.72596740722656
1658295763.8792114,734208,-141.17918395996094
1658295839.4906924,760320,-142.65786743164062
1658295847.3001842,763392,-144.30479431152344
1658295942.1962445,795648,-147.1601104736328
