Wall time,Step,Value
1658524229.6982684,16896,-124.92884063720703
1658524303.5290034,36864,-134.05953979492188
1658524337.4098396,46080,-130.96278381347656
1658524422.2077274,70656,-130.49227905273438
1658524434.4733067,73728,-134.29190063476562
1658524445.7841818,78336,-135.66783142089844
1658524488.4245586,90624,-142.4837646484375
1658524506.5812001,95232,-140.5970458984375
1658524590.7304122,118272,-148.6794891357422
1658524606.5701127,122880,-154.11767578125
1658524716.5308044,153600,-156.85910034179688
1658524761.4506402,165888,-153.34677124023438
1658524783.0148528,172032,-156.8868408203125
1658524887.3895588,202752,-150.01316833496094
1658524960.63952,222720,-148.61891174316406
1658525022.9599879,239616,-155.8711395263672
1658525049.2730672,247296,-154.70693969726562
1658525066.64166,251904,-157.0625762939453
1658525110.6830292,265728,-152.26707458496094
1658525172.1776009,282624,-157.5967559814453
1658525200.1940818,290304,-155.90830993652344
1658525210.5198166,293376,-158.6688995361328
1658525215.8940153,294912,-157.6938934326172
1658525238.8566518,301056,-159.2130584716797
1658525280.7806513,313344,-157.0976104736328
1658525329.1215682,327168,-161.29542541503906
1658525357.3995328,334848,-161.10755920410156
1658525417.5442264,351744,-160.48202514648438
1658525449.71577,360960,-157.5104522705078
1658525477.4342568,368640,-155.5609588623047
1658525558.215241,391680,-155.5275421142578
1658525594.3637416,400896,-146.32321166992188
1658525623.5690594,408576,-143.89552307128906
1658525664.741869,419328,-146.1423797607422
1658525686.2215247,425472,-153.2437744140625
1658525698.1902773,428544,-153.6612548828125
1658525801.7623696,457728,-147.7064971923828
1658525828.2347586,465408,-147.93173217773438
1658525857.8248765,474624,-149.3556365966797
1658525883.6917565,482304,-151.60479736328125
1658525897.039063,485376,-153.15689086914062
1658525937.4372766,497664,-154.83253479003906
1658526003.6763737,516096,-139.71054077148438
1658526054.1338882,529920,-141.48065185546875
1658526097.2868226,542208,-139.9398651123047
1658526185.1201582,566784,-139.93316650390625
1658526206.546491,572928,-137.62826538085938
1658526261.7165196,588288,-139.21649169921875
1658526510.3336656,655872,-139.3739776611328
1658526515.1513834,657408,-139.3739776611328
1658526606.3575494,683520,-151.2831573486328
1658526616.1452236,686592,-148.5177459716797
1658526621.9851077,688128,-148.53775024414062
1658526639.0585864,692736,-148.1804962158203
1658526722.0589395,715776,-148.99200439453125
1658526739.1960168,720384,-147.8197021484375
1658526742.409441,721920,-146.8851318359375
1658526795.748062,737280,-151.81690979003906
1658526888.6297123,763392,-147.38055419921875
1658526897.79718,766464,-148.9159698486328
1658527002.1355083,795648,-147.45394897460938
1658527012.8264651,798720,-146.7008819580078
1658527027.793158,803328,-145.57318115234375
1658527073.5153124,815616,-146.914794921875
1658527106.677008,824832,-144.3241729736328
1658527116.7815783,827904,-144.18125915527344
1658527131.2550936,832512,-143.9642333984375
1658527164.2407339,841728,-140.77786254882812
1658527190.3551624,849408,-142.16673278808594
1658527245.7031114,864768,-147.3516845703125
1658527277.1765773,873984,-144.93907165527344
1658527309.7849805,883200,-143.0812530517578
1658527328.2417772,889344,-145.1607666015625
1658527362.4997253,898560,-143.2767333984375
1658527373.7505212,901632,-140.8247833251953
1658527400.204002,909312,-142.9184112548828
1658527406.1303227,910848,-143.1422119140625
1658527437.7912498,920064,-141.08233642578125
1658527488.0153298,933888,-139.05282592773438
1658527584.9090314,961536,-128.72044372558594
1658527595.542123,964608,-127.46903991699219
1658527656.6129708,983040,-118.41815185546875
1658527695.1263032,993792,-114.4961929321289
1658527701.5276518,995328,-113.33883666992188
1658527710.0896957,998400,-115.79830932617188
1658527727.697992,1003008,-117.9182357788086
1658527740.0772498,1006080,-118.56922912597656
1658527807.3964374,1024512,-120.27472686767578
1658527824.5800385,1029120,-118.0192642211914
1658527849.2297065,1035264,-125.19684600830078
1658527865.4001484,1039872,-124.81733703613281
1658527882.5349972,1044480,-114.2525405883789
1658527904.0323994,1050624,-115.71707916259766
1658527909.9182389,1052160,-115.15606689453125
1658527932.4201493,1058304,-113.03449249267578
1658527957.896402,1065984,-120.72985076904297
1658528101.3295958,1105920,-128.58216857910156
1658528126.1623642,1112064,-130.5293426513672
1658528145.9224553,1118208,-127.43224334716797
1658528153.4045935,1119744,-122.6447982788086
1658528192.6365433,1130496,-120.8916015625
1658528242.8595688,1144320,-117.90997314453125
1658528266.9502485,1150464,-117.45454406738281
1658528290.4246197,1156608,-114.14257049560547
1658528319.8091412,1164288,-112.72003173828125
1658528341.3250825,1170432,-114.93341064453125
1658528389.4232235,1184256,-106.52532958984375
1658528413.6570115,1190400,-104.13156127929688
1658528419.5937586,1191936,-104.99396514892578
1658528424.3855863,1193472,-104.99396514892578
1658528431.399375,1196544,-105.78874969482422
1658528437.4128935,1198080,-103.24324035644531
1658528470.3456435,1207296,-109.95870971679688
1658528497.2279606,1214976,-108.99417114257812
1658528510.014262,1218048,-113.71142578125
1658528537.6302853,1225728,-105.76819610595703
1658528542.5107946,1227264,-105.76819610595703
1658528545.8558862,1228800,-107.93909454345703
1658528570.4137948,1234944,-104.91937255859375
1658528593.8882291,1241088,-100.52539825439453
1658528622.0953412,1248768,-95.6875228881836
1658528627.9214883,1250304,-96.07868957519531
1658528633.2611158,1251840,-95.98889923095703
1658528763.3974936,1287168,-111.70648193359375
1658528786.385078,1293312,-110.78264617919922
1658528965.249792,1344000,-115.53052520751953
1658528989.9588337,1351680,-112.90702056884766
1658529001.852325,1354752,-111.86389923095703
1658529032.9512942,1363968,-117.96720886230469
1658529077.5568917,1376256,-126.65412902832031
1658529112.566013,1385472,-125.92788696289062
1658529134.155603,1391616,-124.46900177001953
1658529172.9015288,1402368,-121.27963256835938
1658529185.8037913,1405440,-121.03323364257812
1658529221.337578,1414656,-125.53516387939453
1658529232.635608,1417728,-126.96696472167969
1658529312.7646828,1439232,-115.88933563232422
1658529318.255784,1440768,-116.50263977050781
1658529371.3946004,1456128,-109.1948471069336
1658529389.0473354,1460736,-110.15325164794922
1658529438.5180452,1474560,-105.7804946899414
1658529463.0292628,1480704,-113.7190933227539
1658529485.3856966,1486848,-115.6996841430664
1658529537.7180781,1500672,-114.8787612915039
1658529543.0485513,1502208,-114.69007873535156
1658529576.7856681,1511424,-121.0774154663086
1658529583.1679735,1512960,-122.87349700927734
1658529609.9011953,1520640,-121.85804748535156
