Wall time,Step,Value
1654075527.7583718,70656,-137.40402221679688
1654075542.322736,75264,-140.26641845703125
1654075655.6407506,115200,-147.2828369140625
1654075751.1956346,150528,-151.01161193847656
1654076024.1517785,248832,-149.82276916503906
1654076063.7195513,262656,-145.40809631347656
1654076334.605094,357888,-161.2652587890625
1654076356.591727,365568,-160.4337921142578
1654076444.7085567,397824,-161.81715393066406
1654076522.6195235,425472,-163.93716430664062
1654076673.875222,479232,-149.39361572265625
1654076683.018006,482304,-151.79550170898438
1654076718.5457346,494592,-155.61285400390625
1654077164.9135153,652800,-166.0928955078125
1654077335.293693,712704,-152.62086486816406
1654077396.3377118,734208,-145.95657348632812
1654077660.396901,829440,-153.69728088378906
1654077775.5699768,870912,-157.80787658691406
1654077840.968305,895488,-156.24642944335938
1654077871.2231874,906240,-158.7572479248047
1654078073.4085991,979968,-168.81918334960938
1654078129.7526686,999936,-166.75099182128906
1654078191.035744,1021440,-159.84832763671875
1654078233.174083,1036800,-157.17352294921875
1654078418.440369,1102848,-159.0304718017578
1654078450.734642,1115136,-158.32395935058594
1654078662.4723895,1190400,-156.09979248046875
1654078721.5695171,1211904,-157.2793731689453
1654078793.7231667,1238016,-167.56300354003906
1654078820.1520283,1247232,-171.78192138671875
1654078943.7690003,1290240,-153.06089782714844
1654079403.0655768,1457664,-160.86590576171875
1654079516.6525126,1497600,-155.76910400390625
1654079661.542135,1549824,-159.9314422607422
1654079701.6234443,1563648,-168.14901733398438
1654079914.3957536,1638912,-145.87396240234375
1654079926.4172907,1643520,-148.84214782714844
1654080090.808595,1701888,-160.0837860107422
1654080409.4206235,1818624,-147.20639038085938
1654080758.1733494,1943040,-155.82521057128906
1654080988.8910697,2027520,-154.66539001464844
1654081002.508439,2032128,-155.99459838867188
1654081063.5690174,2053632,-159.74961853027344
1654081080.6361349,2059776,-162.7338409423828
1654081287.2723718,2133504,-153.93222045898438
1654081316.590194,2144256,-150.6074676513672
1654081465.2745254,2196480,-159.49290466308594
1654081509.1736093,2211840,-154.173828125
1654081636.1296916,2257920,-152.4403533935547
1654081884.7649813,2345472,-159.44456481933594
1654082007.0882423,2390016,-146.06979370117188
1654082076.6876047,2414592,-148.0883331298828
1654082147.5218225,2439168,-153.54122924804688
1654082388.4921746,2525184,-144.6273651123047
1654082609.944183,2603520,-135.4207763671875
1654082690.118311,2631168,-135.41343688964844
1654082728.6014779,2644992,-134.82102966308594
1654082787.8431773,2666496,-135.5288543701172
1654082796.9026568,2669568,-136.26023864746094
1654082808.287726,2674176,-137.29563903808594
1654082999.5515223,2741760,-130.88580322265625
1654083271.4304261,2838528,-161.39242553710938
1654083312.166588,2852352,-165.25689697265625
1654083367.2839835,2872320,-168.1082000732422
