Wall time,Step,Value
1654518808.5292487,147456,-158.77313232421875
1654518900.4296837,172032,-152.62905883789062
1654519272.9616911,270336,-128.09481811523438
1654519365.0797002,294912,-132.24404907226562
1654519549.4130995,344064,-134.93614196777344
1654519641.186347,368640,-135.29420471191406
1654519734.2577524,393216,-133.63046264648438
1654520010.9738722,466944,-131.6230926513672
1654520103.9570818,491520,-128.461669921875
1654520195.6746042,516096,-123.32917022705078
1654520559.5736606,614400,-121.18659210205078
1654521387.8808503,835584,-111.07439422607422
1654521479.8342588,860160,-107.94739532470703
1654521663.199625,909312,-109.40640258789062
1654522030.141353,1007616,-98.15150451660156
1654522215.7977076,1056768,-90.51361083984375
1654522399.231572,1105920,-86.6357192993164
1654522491.6844158,1130496,-88.7540512084961
1654522673.8959568,1179648,-92.9020004272461
1654522858.0241072,1228800,-94.407470703125
1654522949.8857477,1253376,-90.53202056884766
1654523226.9978046,1327104,-90.99545288085938
1654523317.2926683,1351680,-101.78752899169922
1654523408.8478627,1376256,-106.6667709350586
1654523502.0182388,1400832,-93.438720703125
1654523592.8933475,1425408,-84.43026733398438
1654523865.714557,1499136,-71.7945327758789
1654523957.6546006,1523712,-78.14897918701172
1654524141.076648,1572864,-71.86046600341797
1654524327.5086067,1622016,-84.16752624511719
1654524418.7188804,1646592,-97.01577758789062
1654524513.1947052,1671168,-91.79975891113281
1654524605.1911316,1695744,-90.09040832519531
1654524879.2737675,1769472,-72.4056396484375
1654524971.098769,1794048,-65.28401184082031
1654525062.1037228,1818624,-60.279109954833984
1654525152.227988,1843200,-66.77892303466797
1654525335.4219234,1892352,-75.62139892578125
1654525613.5093803,1966080,-72.65939331054688
1654526070.8138235,2088960,-47.2690315246582
1654526161.9692378,2113536,-38.80002975463867
1654526253.0871496,2138112,-43.147518157958984
1654526344.570998,2162688,-48.93995666503906
1654526434.1005926,2187264,-51.856502532958984
1654526526.7846465,2211840,-51.658447265625
1654526985.5993345,2334720,-57.12278747558594
1654527719.1861584,2531328,-34.782188415527344
1654527995.5947635,2605056,-40.68547439575195
1654528086.5991492,2629632,-36.35554122924805
1654528728.1854727,2801664,-30.021251678466797
1654529000.456313,2875392,-41.42333984375
1654529183.731923,2924544,-45.13438034057617
1654529275.767313,2949120,-35.792606353759766
1654529369.4184575,2973696,-49.412200927734375
1654529734.226722,3072000,-47.644649505615234
1654529825.3942428,3096576,-48.01335144042969
1654529917.5575442,3121152,-46.47492599487305
1654530190.8632646,3194880,-46.27978515625
1654530284.2907078,3219456,-69.66780090332031
1654530556.175718,3293184,-28.857194900512695
1654530923.8392916,3391488,-24.300556182861328
1654531105.4135199,3440640,-21.279708862304688
1654531287.6384223,3489792,-35.303009033203125
1654531379.5483842,3514368,-28.116262435913086
1654531470.816587,3538944,-21.81399154663086
1654531562.214459,3563520,-12.859007835388184
1654531924.4609628,3661824,-52.19123840332031
1654532107.3957283,3710976,-31.92864990234375
1654532379.5260959,3784704,-42.10939025878906
1654532470.460297,3809280,-36.71217727661133
1654532560.4421258,3833856,-39.28227615356445
1654532742.114091,3883008,-35.68748474121094
1654532833.004009,3907584,-35.97035217285156
1654532923.3548002,3932160,-27.119579315185547
1654533197.8396056,4005888,-33.232818603515625
1654533381.1576734,4055040,-26.76656723022461
1654533471.9656374,4079616,-37.22953414916992
1654533655.2452,4128768,-47.622257232666016
1654533745.5186515,4153344,-35.76043701171875
1654534018.834243,4227072,-18.906301498413086
1654534473.8685336,4349952,-36.9771614074707
1654534563.901728,4374528,-40.470481872558594
1654534655.1939335,4399104,-36.352176666259766
1654534837.4777033,4448256,-16.033954620361328
1654535111.113259,4521984,-11.268310546875
1654535291.905676,4571136,-22.189159393310547
1654535382.1164443,4595712,-42.01005935668945
1654535562.9892483,4644864,-28.91440200805664
1654535743.463719,4694016,-11.953968048095703
1654535835.93455,4718592,-24.432512283325195
1654536470.6581125,4890624,-17.752368927001953
1654536832.6310332,4988928,-23.905658721923828
1654537196.6194437,5087232,-28.432371139526367
1654537286.2119598,5111808,-42.672210693359375
1654537376.0320966,5136384,-42.71506881713867
1654537740.8694386,5234688,-32.533111572265625
