,category,episode,WinLoss,Time,Health
0,Multi-CNN VS Kyo Kusanagi,0,WIN,50,91
1,Multi-CNN VS Kyo Kusanagi,1,WIN,49,103
2,Multi-CNN VS Kyo Kusanagi,2,WIN,46,91
3,Multi-CNN VS Kyo Kusanagi,3,WIN,47,103
4,Multi-CNN VS Kyo Kusanagi,4,WIN,47,103
5,Multi-CNN VS Kyo Kusanagi,5,WIN,35,45
6,Multi-CNN VS Kyo Kusanagi,6,WIN,47,103
7,Multi-CNN VS Kyo Kusanagi,7,WIN,45,60
8,Multi-CNN VS Kyo Kusanagi,8,WIN,42,72
9,Multi-CNN VS Kyo Kusanagi,9,WIN,43,85
10,Multi-CNN VS Kyo Kusanagi,10,WIN,47,85
11,Multi-CNN VS Kyo Kusanagi,11,WIN,45,83
12,Multi-CNN VS Kyo Kusanagi,12,WIN,42,89
13,Multi-CNN VS Kyo Kusanagi,13,WIN,50,103
14,Multi-CNN VS Kyo Kusanagi,14,WIN,50,103
15,Multi-CNN VS Kyo Kusanagi,15,WIN,47,103
16,Multi-CNN VS Kyo Kusanagi,16,WIN,50,103
17,Multi-CNN VS Kyo Kusanagi,17,WIN,50,103
18,Multi-CNN VS Kyo Kusanagi,18,WIN,45,103
19,Multi-CNN VS Kyo Kusanagi,19,WIN,45,83
20,Multi-CNN VS Kyo Kusanagi,20,WIN,35,32
21,Multi-CNN VS Kyo Kusanagi,21,WIN,38,56
22,Multi-CNN VS Kyo Kusanagi,22,WIN,42,92
23,Multi-CNN VS Kyo Kusanagi,23,WIN,45,91
24,Multi-CNN VS Kyo Kusanagi,24,WIN,40,90
25,Multi-CNN VS Kyo Kusanagi,25,WIN,47,90
26,Multi-CNN VS Kyo Kusanagi,26,WIN,48,103
27,Multi-CNN VS Kyo Kusanagi,27,WIN,49,103
28,Multi-CNN VS Kyo Kusanagi,28,WIN,48,103
29,Multi-CNN VS Kyo Kusanagi,29,WIN,49,103
30,Multi-CNN VS Kyo Kusanagi,30,WIN,47,103
31,Multi-CNN VS Kyo Kusanagi,31,WIN,50,103
32,Multi-CNN VS Kyo Kusanagi,32,WIN,48,103
33,Multi-CNN VS Kyo Kusanagi,33,WIN,50,103
34,Multi-CNN VS Kyo Kusanagi,34,WIN,39,68
35,Multi-CNN VS Kyo Kusanagi,35,WIN,49,103
36,Multi-CNN VS Kyo Kusanagi,36,WIN,43,92
37,Multi-CNN VS Kyo Kusanagi,37,WIN,46,103
38,Multi-CNN VS Kyo Kusanagi,38,WIN,47,103
39,Multi-CNN VS Kyo Kusanagi,39,WIN,31,52
40,Multi-CNN VS Kyo Kusanagi,40,WIN,47,103
41,Multi-CNN VS Kyo Kusanagi,41,WIN,46,103
42,Multi-CNN VS Kyo Kusanagi,42,WIN,39,72
43,Multi-CNN VS Kyo Kusanagi,43,WIN,33,58
44,Multi-CNN VS Kyo Kusanagi,44,WIN,47,103
45,Multi-CNN VS Kyo Kusanagi,45,WIN,46,103
46,Multi-CNN VS Kyo Kusanagi,46,WIN,47,103
47,Multi-CNN VS Kyo Kusanagi,47,WIN,40,91
48,Multi-CNN VS Kyo Kusanagi,48,WIN,46,103
49,Multi-CNN VS Kyo Kusanagi,49,WIN,46,78
50,Multi-CNN VS Goro Daimon,0,WIN,31,75
51,Multi-CNN VS Goro Daimon,1,WIN,25,32
52,Multi-CNN VS Goro Daimon,2,WIN,31,89
53,Multi-CNN VS Goro Daimon,3,WIN,29,72
54,Multi-CNN VS Goro Daimon,4,WIN,35,72
55,Multi-CNN VS Goro Daimon,5,WIN,36,90
56,Multi-CNN VS Goro Daimon,6,WIN,37,66
57,Multi-CNN VS Goro Daimon,7,WIN,37,58
58,Multi-CNN VS Goro Daimon,8,WIN,35,75
59,Multi-CNN VS Goro Daimon,9,WIN,38,103
60,Multi-CNN VS Goro Daimon,10,WIN,31,66
61,Multi-CNN VS Goro Daimon,11,WIN,27,56
62,Multi-CNN VS Goro Daimon,12,WIN,40,103
63,Multi-CNN VS Goro Daimon,13,WIN,32,58
64,Multi-CNN VS Goro Daimon,14,WIN,33,78
65,Multi-CNN VS Goro Daimon,15,WIN,40,95
66,Multi-CNN VS Goro Daimon,16,WIN,30,32
67,Multi-CNN VS Goro Daimon,17,WIN,26,38
68,Multi-CNN VS Goro Daimon,18,WIN,37,79
69,Multi-CNN VS Goro Daimon,19,WIN,31,79
70,Multi-CNN VS Goro Daimon,20,WIN,42,103
71,Multi-CNN VS Goro Daimon,21,WIN,38,82
72,Multi-CNN VS Goro Daimon,22,WIN,36,103
73,Multi-CNN VS Goro Daimon,23,WIN,39,87
74,Multi-CNN VS Goro Daimon,24,WIN,35,68
75,Multi-CNN VS Goro Daimon,25,WIN,31,57
76,Multi-CNN VS Goro Daimon,26,WIN,41,88
77,Multi-CNN VS Goro Daimon,27,WIN,33,59
78,Multi-CNN VS Goro Daimon,28,WIN,38,90
79,Multi-CNN VS Goro Daimon,29,WIN,39,91
80,Multi-CNN VS Goro Daimon,30,WIN,31,53
81,Multi-CNN VS Goro Daimon,31,WIN,37,83
82,Multi-CNN VS Goro Daimon,32,WIN,33,96
83,Multi-CNN VS Goro Daimon,33,WIN,30,51
84,Multi-CNN VS Goro Daimon,34,WIN,24,31
85,Multi-CNN VS Goro Daimon,35,WIN,38,89
86,Multi-CNN VS Goro Daimon,36,WIN,38,103
87,Multi-CNN VS Goro Daimon,37,WIN,31,52
88,Multi-CNN VS Goro Daimon,38,WIN,43,85
89,Multi-CNN VS Goro Daimon,39,WIN,31,74
90,Multi-CNN VS Goro Daimon,40,WIN,41,103
91,Multi-CNN VS Goro Daimon,41,WIN,37,92
92,Multi-CNN VS Goro Daimon,42,WIN,36,70
93,Multi-CNN VS Goro Daimon,43,WIN,35,80
94,Multi-CNN VS Goro Daimon,44,WIN,38,71
95,Multi-CNN VS Goro Daimon,45,WIN,21,55
96,Multi-CNN VS Goro Daimon,46,WIN,43,103
97,Multi-CNN VS Goro Daimon,47,WIN,26,74
98,Multi-CNN VS Goro Daimon,48,WIN,44,103
99,Multi-CNN VS Goro Daimon,49,WIN,31,81
100,Multi-CNN VS Mai Shiranui,0,WIN,42,90
101,Multi-CNN VS Mai Shiranui,1,WIN,40,91
102,Multi-CNN VS Mai Shiranui,2,WIN,34,42
103,Multi-CNN VS Mai Shiranui,3,WIN,35,67
104,Multi-CNN VS Mai Shiranui,4,WIN,45,103
105,Multi-CNN VS Mai Shiranui,5,WIN,44,103
106,Multi-CNN VS Mai Shiranui,6,WIN,41,66
107,Multi-CNN VS Mai Shiranui,7,WIN,44,68
108,Multi-CNN VS Mai Shiranui,8,WIN,42,57
109,Multi-CNN VS Mai Shiranui,9,WIN,48,91
110,Multi-CNN VS Mai Shiranui,10,WIN,42,87
111,Multi-CNN VS Mai Shiranui,11,WIN,43,90
112,Multi-CNN VS Mai Shiranui,12,WIN,38,69
113,Multi-CNN VS Mai Shiranui,13,WIN,34,62
114,Multi-CNN VS Mai Shiranui,14,WIN,36,57
115,Multi-CNN VS Mai Shiranui,15,WIN,43,91
116,Multi-CNN VS Mai Shiranui,16,WIN,40,45
117,Multi-CNN VS Mai Shiranui,17,WIN,38,55
118,Multi-CNN VS Mai Shiranui,18,WIN,28,29
119,Multi-CNN VS Mai Shiranui,19,WIN,31,67
120,Multi-CNN VS Mai Shiranui,20,WIN,36,85
121,Multi-CNN VS Mai Shiranui,21,WIN,41,93
122,Multi-CNN VS Mai Shiranui,22,WIN,40,47
123,Multi-CNN VS Mai Shiranui,23,WIN,36,58
124,Multi-CNN VS Mai Shiranui,24,WIN,39,81
125,Multi-CNN VS Mai Shiranui,25,WIN,44,82
126,Multi-CNN VS Mai Shiranui,26,WIN,42,68
127,Multi-CNN VS Mai Shiranui,27,WIN,31,41
128,Multi-CNN VS Mai Shiranui,28,WIN,35,45
129,Multi-CNN VS Mai Shiranui,29,WIN,38,49
130,Multi-CNN VS Mai Shiranui,30,WIN,36,97
131,Multi-CNN VS Mai Shiranui,31,WIN,41,45
132,Multi-CNN VS Mai Shiranui,32,WIN,38,77
133,Multi-CNN VS Mai Shiranui,33,WIN,29,35
134,Multi-CNN VS Mai Shiranui,34,WIN,41,102
135,Multi-CNN VS Mai Shiranui,35,WIN,35,51
136,Multi-CNN VS Mai Shiranui,36,WIN,26,11
137,Multi-CNN VS Mai Shiranui,37,WIN,49,80
138,Multi-CNN VS Mai Shiranui,38,WIN,28,14
139,Multi-CNN VS Mai Shiranui,39,WIN,40,66
140,Multi-CNN VS Mai Shiranui,40,WIN,37,91
141,Multi-CNN VS Mai Shiranui,41,WIN,40,87
142,Multi-CNN VS Mai Shiranui,42,WIN,41,91
143,Multi-CNN VS Mai Shiranui,43,WIN,31,59
144,Multi-CNN VS Mai Shiranui,44,WIN,43,79
145,Multi-CNN VS Mai Shiranui,45,WIN,38,82
146,Multi-CNN VS Mai Shiranui,46,WIN,42,60
147,Multi-CNN VS Mai Shiranui,47,WIN,39,82
148,Multi-CNN VS Mai Shiranui,48,WIN,45,68
149,Multi-CNN VS Mai Shiranui,49,WIN,37,40
150,Multi-CNN VS Billy,0,WIN,41,91
151,Multi-CNN VS Billy,1,WIN,44,97
152,Multi-CNN VS Billy,2,WIN,42,100
153,Multi-CNN VS Billy,3,WIN,44,103
154,Multi-CNN VS Billy,4,WIN,46,91
155,Multi-CNN VS Billy,5,WIN,43,100
156,Multi-CNN VS Billy,6,WIN,46,100
157,Multi-CNN VS Billy,7,WIN,36,99
158,Multi-CNN VS Billy,8,WIN,43,91
159,Multi-CNN VS Billy,9,WIN,43,82
160,Multi-CNN VS Billy,10,WIN,45,81
161,Multi-CNN VS Billy,11,WIN,44,100
162,Multi-CNN VS Billy,12,WIN,38,91
163,Multi-CNN VS Billy,13,WIN,43,87
164,Multi-CNN VS Billy,14,WIN,41,80
165,Multi-CNN VS Billy,15,WIN,46,87
166,Multi-CNN VS Billy,16,WIN,36,83
167,Multi-CNN VS Billy,17,WIN,46,103
168,Multi-CNN VS Billy,18,WIN,44,91
169,Multi-CNN VS Billy,19,WIN,43,89
170,Multi-CNN VS Billy,20,WIN,47,103
171,Multi-CNN VS Billy,21,WIN,46,100
172,Multi-CNN VS Billy,22,WIN,45,96
173,Multi-CNN VS Billy,23,WIN,41,91
174,Multi-CNN VS Billy,24,WIN,43,78
175,Multi-CNN VS Billy,25,WIN,44,97
176,Multi-CNN VS Billy,26,WIN,48,101
177,Multi-CNN VS Billy,27,WIN,35,61
178,Multi-CNN VS Billy,28,WIN,48,88
179,Multi-CNN VS Billy,29,WIN,48,100
180,Multi-CNN VS Billy,30,WIN,33,56
181,Multi-CNN VS Billy,31,WIN,39,94
182,Multi-CNN VS Billy,32,WIN,42,85
183,Multi-CNN VS Billy,33,WIN,31,80
184,Multi-CNN VS Billy,34,WIN,42,81
185,Multi-CNN VS Billy,35,WIN,40,93
186,Multi-CNN VS Billy,36,WIN,43,97
187,Multi-CNN VS Billy,37,WIN,42,99
188,Multi-CNN VS Billy,38,WIN,45,93
189,Multi-CNN VS Billy,39,WIN,37,77
190,Multi-CNN VS Billy,40,WIN,48,101
191,Multi-CNN VS Billy,41,WIN,42,85
192,Multi-CNN VS Billy,42,WIN,30,82
193,Multi-CNN VS Billy,43,WIN,37,90
194,Multi-CNN VS Billy,44,WIN,44,90
195,Multi-CNN VS Billy,45,WIN,42,88
196,Multi-CNN VS Billy,46,WIN,37,81
197,Multi-CNN VS Billy,47,WIN,40,99
198,Multi-CNN VS Billy,48,WIN,42,100
199,Multi-CNN VS Billy,49,WIN,45,100
200,LSTM VS Kyo Kusanagi,0,WIN,37,73
201,LSTM VS Kyo Kusanagi,1,WIN,25,8
202,LSTM VS Kyo Kusanagi,2,WIN,33,77
203,LSTM VS Kyo Kusanagi,3,WIN,33,47
204,LSTM VS Kyo Kusanagi,4,WIN,37,70
205,LSTM VS Kyo Kusanagi,5,WIN,39,44
206,LSTM VS Kyo Kusanagi,6,WIN,38,45
207,LSTM VS Kyo Kusanagi,7,WIN,32,56
208,LSTM VS Kyo Kusanagi,8,WIN,30,39
209,LSTM VS Kyo Kusanagi,9,WIN,37,55
210,LSTM VS Kyo Kusanagi,10,WIN,32,39
211,LSTM VS Kyo Kusanagi,11,WIN,23,26
212,LSTM VS Kyo Kusanagi,12,WIN,39,60
213,LSTM VS Kyo Kusanagi,13,WIN,43,90
214,LSTM VS Kyo Kusanagi,14,WIN,28,13
215,LSTM VS Kyo Kusanagi,15,WIN,40,78
216,LSTM VS Kyo Kusanagi,16,WIN,35,41
217,LSTM VS Kyo Kusanagi,17,WIN,19,2
218,LSTM VS Kyo Kusanagi,18,WIN,26,37
219,LSTM VS Kyo Kusanagi,19,WIN,36,68
220,LSTM VS Kyo Kusanagi,20,WIN,29,11
221,LSTM VS Kyo Kusanagi,21,WIN,31,53
222,LSTM VS Kyo Kusanagi,22,WIN,38,59
223,LSTM VS Kyo Kusanagi,23,WIN,41,58
224,LSTM VS Kyo Kusanagi,24,WIN,22,47
225,LSTM VS Kyo Kusanagi,25,WIN,38,56
226,LSTM VS Kyo Kusanagi,26,WIN,36,36
227,LSTM VS Kyo Kusanagi,27,WIN,29,40
228,LSTM VS Kyo Kusanagi,28,WIN,38,23
229,LSTM VS Kyo Kusanagi,29,WIN,30,44
230,LSTM VS Kyo Kusanagi,30,WIN,25,36
231,LSTM VS Kyo Kusanagi,31,WIN,38,72
232,LSTM VS Kyo Kusanagi,32,WIN,29,62
233,LSTM VS Kyo Kusanagi,33,WIN,31,21
234,LSTM VS Kyo Kusanagi,34,WIN,37,19
235,LSTM VS Kyo Kusanagi,35,WIN,38,57
236,LSTM VS Kyo Kusanagi,36,WIN,30,8
237,LSTM VS Kyo Kusanagi,37,WIN,35,57
238,LSTM VS Kyo Kusanagi,38,WIN,28,49
239,LSTM VS Kyo Kusanagi,39,WIN,34,31
240,LSTM VS Kyo Kusanagi,40,WIN,36,73
241,LSTM VS Kyo Kusanagi,41,WIN,45,92
242,LSTM VS Kyo Kusanagi,42,WIN,23,7
243,LSTM VS Kyo Kusanagi,43,WIN,35,53
244,LSTM VS Kyo Kusanagi,44,WIN,40,81
245,LSTM VS Kyo Kusanagi,45,WIN,44,100
246,LSTM VS Kyo Kusanagi,46,LOSE,34,-4
247,LSTM VS Kyo Kusanagi,47,WIN,33,44
248,LSTM VS Kyo Kusanagi,48,WIN,26,22
249,LSTM VS Kyo Kusanagi,49,LOSE,21,-5
250,Random Agent,0,LOSE,30,0
251,Random Agent,1,LOSE,15,0
252,Random Agent,2,WIN,21,21
253,Random Agent,3,LOSE,34,0
254,Random Agent,4,LOSE,11,0
255,Random Agent,5,WIN,29,47
256,Random Agent,6,WIN,31,44
257,Random Agent,7,LOSE,37,0
258,Random Agent,8,LOSE,31,0
259,Random Agent,9,WIN,26,60
260,Random Agent,10,LOSE,37,0
261,Random Agent,11,LOSE,29,0
262,Random Agent,12,LOSE,28,0
263,Random Agent,13,LOSE,32,0
264,Random Agent,14,LOSE,19,0
265,Random Agent,15,LOSE,30,0
266,Random Agent,16,LOSE,27,0
267,Random Agent,17,WIN,18,4
268,Random Agent,18,LOSE,35,0
269,Random Agent,19,WIN,21,54
270,Random Agent,20,LOSE,32,0
271,Random Agent,21,LOSE,33,0
272,Random Agent,22,WIN,29,36
273,Random Agent,23,LOSE,26,0
274,Random Agent,24,LOSE,24,0
275,Random Agent,25,LOSE,38,0
276,Random Agent,26,LOSE,41,0
277,Random Agent,27,LOSE,33,0
278,Random Agent,28,LOSE,37,0
279,Random Agent,29,LOSE,25,0
280,Random Agent,30,LOSE,27,0
281,Random Agent,31,LOSE,38,0
282,Random Agent,32,LOSE,29,0
283,Random Agent,33,LOSE,30,0
284,Random Agent,34,LOSE,31,0
285,Random Agent,35,LOSE,28,0
286,Random Agent,36,LOSE,44,0
287,Random Agent,37,LOSE,26,0
288,Random Agent,38,LOSE,37,0
289,Random Agent,39,LOSE,21,0
290,Random Agent,40,LOSE,32,0
291,Random Agent,41,LOSE,31,0
292,Random Agent,42,LOSE,24,0
293,Random Agent,43,WIN,22,47
294,Random Agent,44,WIN,20,3
295,Random Agent,45,LOSE,36,0
296,Random Agent,46,LOSE,33,0
297,Random Agent,47,LOSE,30,0
298,Random Agent,48,LOSE,36,0
299,Random Agent,49,LOSE,29,0
300,LSTM VS Kyo Kusanagi 786 units,0,WIN,24,19
300,LSTM VS Kyo Kusanagi 786 units,1,LOSE,42,-9
300,LSTM VS Kyo Kusanagi 786 units,2,LOSE,18,-5
300,LSTM VS Kyo Kusanagi 786 units,3,WIN,25,40
300,LSTM VS Kyo Kusanagi 786 units,4,LOSE,29,-3
300,LSTM VS Kyo Kusanagi 786 units,5,WIN,26,43
300,LSTM VS Kyo Kusanagi 786 units,6,LOSE,19,-6
300,LSTM VS Kyo Kusanagi 786 units,7,LOSE,37,-4
300,LSTM VS Kyo Kusanagi 786 units,8,WIN,26,70
300,LSTM VS Kyo Kusanagi 786 units,9,WIN,32,28
300,LSTM VS Kyo Kusanagi 786 units,10,LOSE,0,-2
300,LSTM VS Kyo Kusanagi 786 units,11,LOSE,38,-7
300,LSTM VS Kyo Kusanagi 786 units,12,WIN,23,4
300,LSTM VS Kyo Kusanagi 786 units,13,WIN,35,85
300,LSTM VS Kyo Kusanagi 786 units,14,LOSE,31,-2
300,LSTM VS Kyo Kusanagi 786 units,15,LOSE,29,-7
300,LSTM VS Kyo Kusanagi 786 units,16,WIN,14,1
300,LSTM VS Kyo Kusanagi 786 units,17,LOSE,35,-2
300,LSTM VS Kyo Kusanagi 786 units,18,LOSE,27,-2
300,LSTM VS Kyo Kusanagi 786 units,19,LOSE,28,-8
300,LSTM VS Kyo Kusanagi 786 units,20,WIN,34,45
300,LSTM VS Kyo Kusanagi 786 units,21,WIN,20,20
300,LSTM VS Kyo Kusanagi 786 units,22,WIN,26,16
300,LSTM VS Kyo Kusanagi 786 units,23,LOSE,27,-2
300,LSTM VS Kyo Kusanagi 786 units,24,LOSE,36,-1
300,LSTM VS Kyo Kusanagi 786 units,25,LOSE,22,-6
300,LSTM VS Kyo Kusanagi 786 units,26,WIN,19,9
300,LSTM VS Kyo Kusanagi 786 units,27,WIN,27,27
300,LSTM VS Kyo Kusanagi 786 units,28,LOSE,24,-4
300,LSTM VS Kyo Kusanagi 786 units,29,WIN,27,35
300,LSTM VS Kyo Kusanagi 786 units,30,LOSE,25,-10
300,LSTM VS Kyo Kusanagi 786 units,31,LOSE,29,-4
300,LSTM VS Kyo Kusanagi 786 units,32,WIN,31,69
300,LSTM VS Kyo Kusanagi 786 units,33,LOSE,34,-2
300,LSTM VS Kyo Kusanagi 786 units,34,LOSE,37,-6
300,LSTM VS Kyo Kusanagi 786 units,35,LOSE,25,-5
300,LSTM VS Kyo Kusanagi 786 units,36,LOSE,35,-6
300,LSTM VS Kyo Kusanagi 786 units,37,WIN,30,6
300,LSTM VS Kyo Kusanagi 786 units,38,WIN,32,21
300,LSTM VS Kyo Kusanagi 786 units,39,WIN,26,31
300,LSTM VS Kyo Kusanagi 786 units,40,WIN,30,34
300,LSTM VS Kyo Kusanagi 786 units,41,LOSE,31,-2
300,LSTM VS Kyo Kusanagi 786 units,42,LOSE,39,-3
300,LSTM VS Kyo Kusanagi 786 units,43,LOSE,38,-1
300,LSTM VS Kyo Kusanagi 786 units,44,WIN,34,87
300,LSTM VS Kyo Kusanagi 786 units,45,WIN,31,50
300,LSTM VS Kyo Kusanagi 786 units,46,WIN,33,48
300,LSTM VS Kyo Kusanagi 786 units,47,LOSE,13,-7
300,LSTM VS Kyo Kusanagi 786 units,48,LOSE,28,-3
300,LSTM VS Kyo Kusanagi 786 units,49,WIN,24,13
